csv_series,csv_subject,csv_career
언어문학계열,"생활과 윤리, 윤리와 사상, 세계지리, 동아시아사, 세계사, 사회문화, 제2외국어1, 한문1, 철학, 논술 등","심화 국어, 고전 읽기, 영어권 문화, 진로 영어, 영미 문학 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어2, 한문2 등"
인문과학계열,"생활과 윤리, 윤리와 사상, 한국지리, 세계지리, 동아시아사, 세계사, 정치와 법, 사회문화, 제2외국어1, 한문1, 논술, 심리학 등","고전 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어2, 한문2"
상경계열,"미적분, 확률과 통계, 생활과 윤리, 세계지리, 세계사, 동아시아사, 경제, 정치와 법, 사회문화, 제2외국어1, 심리학 등","경제 수학, 영어권 문화, 진로 영어, 사회문제 탐구, 제2외국어2 등"
광고언론정보계열,"확률과 통계, 윤리와 사상, 세계지리, 세계사, 동아시아사, 경제, 정치와 법, 사회문화, 심리학, 정보 등","영어권 문화, 사회문제 탐구"
사회계열,"확률과 통계, 생활과 윤리, 윤리와 사상, 한국지리, 세계지리, 세계사, 경제, 정치와 법, 사회문화, 심리학, 교육학 등","영어권 문화, 진로 영어, 여행지리, 사회문제 탐구, 고전과 윤리, 제2외국어2 등"
법행정계열,"확률과 통계, 생활과 윤리, 세계사, 경제, 정치와 법, 사회문화, 제2외국어1, 철학, 논리학 등","사회문제 탐구, 제2외국어2 등"
자연과학계열,"미적분, 확률과 통계, 물리학1, 화학1, 생명과학1, 지구과학1 등","기하, 수학과제 탐구, 과학2, 융합과학 등"
생활과학계열,"미적분, 확률과 통계, 화학1, 생명과학1 등","기하, 화학2, 생명과학2, 생활과 과학, 가정과학 등"
농학계열,"미적분, 확률과 통계, 물리학1, 화학1, 생명과학1, 지구과학1 등","기하, 화학2, 생명과학2 등"
기계전기전자계열,"미적분, 확률과 통계, 물리학1, 화학1, 지구과학1, 정보 등","기하, 수학과제 탐구, 인공지능 수학, 물리학2, 화학2, 융합과학, 인공지능 기초 등"
정보컴퓨터계열,"미적분, 확률과 통계, 물리학1, 생활과 윤리, 정보 등","기하, 인공지능 수학, 수학과제 탐구, 물리학2, 인공지능 기초 등"
건축환경계열,"미적분, 확률과 통계, 한국지리, 세계지리, 물리학1, 화학1, 생명과학1, 지구과학1, 기술가정","기하, 물리학2, 화학2, 지구과학2, 생활과 과학 등"
화학생명계열,"미적분, 확률과 통계, 물리학1, 화학1, 생명과학1","기하, 물리학2, 화학2, 생명과학2, 생활과 과학 등"
보건계열,"확률과 통계, 생활과 윤리, 정치와 법, 화학1, 생명과학1, 보건 등","화학2, 생명과학2, 생활과 과학 등"
의약학계열,"미적분, 확률과 통계, 물리학1, 화학1, 생명과학1, 생활과 윤리, 정치와 법, 보건 등","화학2, 생명과학2 등"
교육계열,"확률과 통계, 전공 관련 교과 일반 선택, 교육학, 심리학","전공 관련 교과 진로 선택"
